 acc_segments acc_ssd gyro_segments gyro_ssd
0.050000 1 0.003685 1 0.007928
0.100000 1 0.003685 1 0.007928
0.150000 1 0.003685 1 0.007928
0.200000 1 0.003685 1 0.007928
0.250000 1 0.003685 1 0.007928
0.300000 1 0.003685 1 0.007928
0.350000 1 0.003685 1 0.007928
0.400000 1 0.003685 1 0.007928
0.450000 1 0.003685 1 0.007928
0.500000 1 0.003685 1 0.007928
0.550000 1 0.003685 1 0.007928
0.600000 0 0.012877 0 0.029389
0.650000 0 0.012877 0 0.029389
0.700000 0 0.012877 0 0.029389
0.750000 0 0.012877 0 0.029389
0.800000 0 0.012877 0 0.029389
0.850000 0 0.012877 0 0.029389
0.900000 0 0.012877 0 0.029389
0.950000 0 0.012877 0 0.029389
1.000000 0 0.012877 0 0.029389
1.050000 0 0.012877 0 0.029389
1.100000 0 0.012877 0 0.029389
1.150000 0 0.062475 0 0.126641
1.200000 0 0.062475 0 0.126641
1.250000 0 0.062475 0 0.126641
1.300000 0 0.062475 0 0.126641
1.350000 0 0.062475 0 0.126641
1.400000 0 0.062475 0 0.126641
1.450000 0 0.062475 0 0.126641
1.500000 0 0.062475 0 0.126641
1.550000 0 0.062475 0 0.126641
1.600000 0 0.062475 0 0.126641
1.650000 0 0.062475 0 0.126641
1.700000 0 0.054247 0 0.138945
1.750000 0 0.054247 0 0.138945
1.800000 0 0.054247 0 0.138945
1.850000 0 0.054247 0 0.138945
1.900000 0 0.054247 0 0.138945
1.950000 0 0.054247 0 0.138945
2.000000 0 0.054247 0 0.138945
2.050000 0 0.054247 0 0.138945
2.100000 0 0.054247 0 0.138945
2.150000 0 0.054247 0 0.138945
2.200000 0 0.054247 0 0.138945
2.250000 0 0.052885 0 0.103469
2.300000 0 0.052885 0 0.103469
2.350000 0 0.052885 0 0.103469
2.400000 0 0.052885 0 0.103469
2.450000 0 0.052885 0 0.103469
2.500000 0 0.052885 0 0.103469
2.550000 0 0.052885 0 0.103469
2.600000 0 0.052885 0 0.103469
2.650000 0 0.052885 0 0.103469
2.700000 0 0.052885 0 0.103469
2.750000 0 0.052885 0 0.103469
2.800000 1 0.002058 1 0.006086
2.850000 1 0.002058 1 0.006086
2.900000 1 0.002058 1 0.006086
2.950000 1 0.002058 1 0.006086
3.000000 1 0.002058 1 0.006086
3.050000 1 0.002058 1 0.006086
3.100000 1 0.002058 1 0.006086
3.150000 1 0.002058 1 0.006086
3.200000 1 0.002058 1 0.006086
3.250000 1 0.002058 1 0.006086
3.300000 1 0.002058 1 0.006086
3.350000 1 0.002355 1 0.006697
3.400000 1 0.002355 1 0.006697
3.450000 1 0.002355 1 0.006697
3.500000 1 0.002355 1 0.006697
3.550000 1 0.002355 1 0.006697
3.600000 1 0.002355 1 0.006697
3.650000 1 0.002355 1 0.006697
3.700000 1 0.002355 1 0.006697
3.750000 1 0.002355 1 0.006697
3.800000 1 0.002355 1 0.006697
3.850000 1 0.002355 1 0.006697
3.900000 1 0.002530 1 0.005184
3.950000 1 0.002530 1 0.005184
4.000000 1 0.002530 1 0.005184
4.050000 1 0.002530 1 0.005184
4.100000 1 0.002530 1 0.005184
4.150000 1 0.002530 1 0.005184
4.200000 1 0.002530 1 0.005184
4.250000 1 0.002530 1 0.005184
4.300000 1 0.002530 1 0.005184
4.350000 1 0.002530 1 0.005184
4.400000 1 0.002530 1 0.005184
4.450000 1 0.001765 1 0.004089
4.500000 1 0.001765 1 0.004089
4.550000 1 0.001765 1 0.004089
4.600000 1 0.001765 1 0.004089
4.650000 1 0.001765 1 0.004089
4.700000 1 0.001765 1 0.004089
4.750000 1 0.001765 1 0.004089
4.800000 1 0.001765 1 0.004089
4.850000 1 0.001765 1 0.004089
4.900000 1 0.001765 1 0.004089
4.950000 1 0.001765 1 0.004089
5.000000 1 0.002639 1 0.008254
5.050000 1 0.002639 1 0.008254
5.100000 1 0.002639 1 0.008254
5.150000 1 0.002639 1 0.008254
5.200000 1 0.002639 1 0.008254
5.250000 1 0.002639 1 0.008254
5.300000 1 0.002639 1 0.008254
5.350000 1 0.002639 1 0.008254
5.400000 1 0.002639 1 0.008254
5.450000 1 0.002639 1 0.008254
5.500000 1 0.002639 1 0.008254
5.550000 0 0.076327 0 0.045092
5.600000 0 0.076327 0 0.045092
5.650000 0 0.076327 0 0.045092
5.700000 0 0.076327 0 0.045092
5.750000 0 0.076327 0 0.045092
5.800000 0 0.076327 0 0.045092
5.850000 0 0.076327 0 0.045092
5.900000 0 0.076327 0 0.045092
5.950000 0 0.076327 0 0.045092
6.000000 0 0.076327 0 0.045092
6.050000 0 0.076327 0 0.045092
