X Y Z
-39.976676 40.196596 69.900637
-27.557394 28.239883 49.113125
-18.086885 18.893562 32.861800
-25.007097 26.633354 46.328281
-25.022775 27.177022 47.278645
-27.075305 29.994332 52.184940
-16.943066 19.149502 33.320100
-23.397624 26.986203 46.960579
-23.383374 27.529076 47.909997
-25.269130 30.374164 52.866636
-15.791930 19.386502 33.745792
-22.147282 27.775459 48.353095
-22.820804 29.246965 50.919799
-22.386385 29.327957 51.065847
-6.968700 9.335623 16.256794
-90.503328 124.023116 215.991700
-88.669159 124.341967 216.568362
-86.832840 124.653587 217.132543
-84.994437 124.958000 217.684276
-83.154013 125.255226 218.223598
-81.311631 125.545288 218.750542
-79.467350 125.828207 219.265142
-77.621231 126.104005 219.767433
-75.773332 126.372703 220.257445
-73.923709 126.634320 220.735213
-72.072418 126.888878 221.200767
-70.219514 127.136396 221.654138
-68.365050 127.376893 222.095356
-66.509078 127.610389 222.524451
-64.651649 127.836901 222.941452
-62.792814 128.056449 223.346386
-60.932621 128.269050 223.739282
-59.071119 128.474721 224.120166
-57.208354 128.673480 224.489064
-55.344372 128.865342 224.846001
-53.479220 129.050324 225.191001
-51.612940 129.228441 225.524088
-49.745577 129.399709 225.845285
-47.877174 129.564141 226.154614
-46.007771 129.721753 226.452096
-44.137412 129.872557 226.737751
-42.266135 130.016568 227.011599
-40.393981 130.153796 227.273658
-38.520990 130.284256 227.523946
-36.647199 130.407958 227.762480
-34.772646 130.524913 227.989276
-32.897369 130.635133 228.204349
-31.021406 130.738627 228.407714
-29.144792 130.835405 228.599383
-27.267563 130.925476 228.779369
-25.389755 131.008849 228.947684
-23.511403 131.085531 229.104338
-21.632542 131.155530 229.249340
-19.753207 131.218854 229.382700
-17.873431 131.275508 229.504426
-15.993248 131.325499 229.614524
-14.112693 131.368831 229.712999
-12.231798 131.405510 229.799859
-10.350597 131.435540 229.875105
-8.469124 131.458925 229.938742
-6.587410 131.475668 229.990771
-4.705490 131.485772 230.031194
-2.823396 131.489238 230.060011
-0.941160 131.486069 230.077222
0.941183 131.476265 230.082824
2.823602 131.459827 230.076816
4.706063 131.436755 230.059193
6.588533 131.407048 230.029952
8.470978 131.370706 229.989087
10.353366 131.327726 229.936591
12.235662 131.278107 229.872458
14.117834 131.221846 229.796680
15.999846 131.158939 229.709246
17.881664 131.089382 229.610148
10.440964 69.214506 121.244952
11.434872 69.170727 121.180255
12.428623 69.123427 121.109377
25.406299 130.744572 229.096872
27.286620 130.641695 228.939267
29.166533 130.532136 228.769917
31.046001 130.415886 228.588806
17.394332 68.834005 120.661995
18.255394 68.274327 119.692760
19.101986 67.712130 118.718918
20.079600 67.637614 118.600012
40.435314 129.733996 227.506210
42.311293 129.577425 227.254143
44.186550 129.414098 226.990176
46.061040 129.244005 226.714287
47.934722 129.067133 226.426451
49.807550 128.883472 226.126643
51.679480 128.693008 225.814838
53.550467 128.495728 225.491010
55.420463 128.291618 225.155131
57.289420 128.080666 224.807174
59.157291 127.862857 224.447109
61.024025 127.638175 224.074908
62.889572 127.406607 223.690541
64.753879 127.168137 223.293977
66.616895 126.922748 222.885184
68.478566 126.670425 222.464131
70.338835 126.411151 222.030785
72.197647 126.144909 221.585112
74.054944 125.871682 221.127079
75.910667 125.591453 220.656651
77.764757 125.304204 220.173793
79.617151 125.009916 219.678470
81.467787 124.708571 219.170646
83.316602 124.400151 218.650283
85.163528 124.084636 218.117346
87.008501 123.762007 217.571796
88.851450 123.432246 217.013595
90.692306 123.095331 216.442706
92.530997 122.751244 215.859090
94.367451 122.399965 215.262707
96.201593 122.041472 214.653518
98.033346 121.675746 214.031484
99.862633 121.302766 213.396564
101.689373 120.922512 212.748719
103.513487 120.534963 212.087908
105.334891 120.140097 211.414091
107.153499 119.737895 210.727227
108.969226 119.328335 210.027275
110.781983 118.911396 209.314195
112.591679 118.487058 208.587945
114.398224 118.055298 207.848485
116.201522 117.616097 207.095775
118.001478 117.169433 206.329772
-118.149558 116.562402 206.588694
-116.352967 116.989149 207.365682
-114.552907 117.408395 208.129527
-112.749469 117.820164 208.880267
-110.942743 118.224479 209.617939
-109.132816 118.621363 210.342579
-107.319776 119.010838 211.054226
-105.503706 119.392928 211.752914
-103.684689 119.767656 212.438682
-101.862807 120.135045 213.111566
-100.038138 120.495116 213.771602
-98.210761 120.847893 214.418826
-96.380752 121.193399 215.053274
-94.548185 121.531654 215.674982
-92.713134 121.862681 216.283984
-90.875670 122.186502 216.880316
-89.035862 122.503139 217.464011
-87.193781 122.812612 218.035105
-85.349493 123.114943 218.593629
-83.503063 123.410153 219.139619
-81.654557 123.698261 219.673106
-79.804037 123.979289 220.194122
-77.951565 124.253256 220.702700
-76.097202 124.520182 221.198870
-74.241007 124.780086 221.682663
-72.383039 125.032987 222.154108
-70.523354 125.278904 222.613236
-68.662008 125.517854 223.060075
-66.799056 125.749856 223.494653
-64.934551 125.974928 223.916997
-63.068547 126.193086 224.327135
-61.201094 126.404348 224.725092
-59.332244 126.608729 225.110894
-57.462045 126.806246 225.484566
-55.590548 126.996913 225.846131
-53.717799 127.180747 226.195614
-51.843845 127.357762 226.533035
-49.968734 127.527972 226.858418
-48.092509 127.691391 227.171783
-46.215217 127.848032 227.473151
-44.336900 127.997909 227.762540
-42.457602 128.141033 228.039969
-40.577366 128.277417 228.305457
-38.696233 128.407072 228.559019
-36.814245 128.530010 228.800673
-34.931442 128.646240 229.030433
-33.047865 128.755774 229.248314
-31.163553 128.858620 229.454329
-29.278545 128.954788 229.648491
-27.392881 129.044286 229.830812
-25.506599 129.127123 230.001303
-23.619736 129.203306 230.159975
-21.732330 129.272842 230.306835
-19.844419 129.335738 230.441893
-17.956039 129.392001 230.565155
-16.067227 129.441635 230.676630
-14.178019 129.484646 230.776321
-12.288453 129.521039 230.864234
-10.398563 129.550817 230.940373
-8.508387 129.573985 231.004740
-6.617959 129.590545 231.057338
-4.727316 129.600500 231.098167
-2.836493 129.603852 231.127229
-0.945526 129.600603 231.144521
0.945549 129.590754 231.150043
2.836696 129.574305 231.143792
4.727880 129.551256 231.125765
6.619065 129.521607 231.095957
8.510214 129.485357 231.054363
10.401292 129.442505 231.000976
12.292262 129.393048 230.935791
14.183086 129.336984 230.858798
16.073729 129.274311 230.769989
17.964153 129.205023 230.669355
19.854321 129.129119 230.556884
21.744194 129.046593 230.432565
23.633735 128.957439 230.296386
25.522904 128.861654 230.148334
27.411663 128.759231 229.988394
29.299972 128.650163 229.816551
31.187791 128.534444 229.632790
33.075079 128.412066 229.437095
34.961795 128.283022 229.229446
36.847898 128.147303 229.009827
38.733345 128.004901 228.778219
40.618092 127.855807 228.534600
42.502097 127.700010 228.278950
44.385315 127.537501 228.011249
46.267700 127.368270 227.731473
48.149206 127.192305 227.439600
50.029788 127.009595 227.135605
51.909397 126.820129 226.819464
53.787984 126.623895 226.491152
55.665501 126.420879 226.150643
57.541897 126.211069 225.797910
59.417121 125.994452 225.432925
61.291121 125.771014 225.055661
63.163842 125.540742 224.666088
65.035232 125.303619 224.264178
66.905234 125.059633 223.849900
68.773792 124.808768 223.423224
70.640849 124.551008 222.984118
72.506344 124.286339 222.532551
74.370220 124.014743 222.068489
76.232414 123.736204 221.591902
78.092863 123.450707 221.102754
79.951504 123.158234 220.601012
81.808272 122.858768 220.086642
83.663100 122.552292 219.559608
85.515920 122.238788 219.019876
87.366663 121.918239 218.467410
89.215258 121.590626 217.902174
91.061634 121.255932 217.324131
92.905716 120.914137 216.733245
94.747429 120.565224 216.129478
96.586696 120.209174 215.512795
98.423439 119.845968 214.883156
100.257578 119.475587 214.240524
102.089032 119.098013 213.584861
103.917716 118.713225 212.916130
105.743547 118.321206 212.234291
107.566437 117.921936 211.539308
109.386298 117.515395 210.831140
111.203040 117.101565 210.109751
113.016571 116.680426 209.375101
114.826796 116.251959 208.627152
116.633621 115.816146 207.865867
118.436948 115.372967 207.091207
-118.582484 114.764815 207.345682
-116.782478 115.187989 208.131161
-114.978848 115.603756 208.903413
-113.171689 116.012138 209.662473
-111.361091 116.413156 210.408376
-109.547144 116.806832 211.141155
-107.729937 117.193187 211.860845
-105.909555 117.572242 212.567481
-104.086084 117.944018 213.261097
-102.259607 118.308537 213.941728
-100.430204 118.665819 214.609407
-98.597955 119.015885 215.264169
-96.762940 119.358756 215.906046
-94.925234 119.694453 216.535073
-93.084913 120.022996 217.151282
-91.242051 120.344405 217.754707
-89.396719 120.658701 218.345379
-87.548989 120.965904 218.923331
-85.698930 121.266032 219.488594
-83.846610 121.559105 220.041200
-81.992096 121.845144 220.581180
-80.135454 122.124165 221.108564
-78.276747 122.396189 221.623383
-76.416039 122.661233 222.125664
-74.553392 122.919316 222.615439
-72.688865 123.170455 223.092734
-70.822519 123.414668 223.557577
-68.954412 123.651972 224.009997
-67.084600 123.882384 224.450020
-65.213141 124.105920 224.877671
-63.340089 124.322596 225.292977
-61.465498 124.532428 225.695961
-59.589423 124.735432 226.086649
-57.711914 124.931622 226.465063
-55.833023 125.121013 226.831227
-53.952801 125.303620 227.185163
-52.071297 125.479456 227.526891
-50.188561 125.648534 227.856433
-48.304639 125.810868 228.173809
-46.419581 125.966471 228.479038
-44.533431 126.115354 228.772138
-42.646237 126.257529 229.053127
-40.758043 126.393007 229.322022
-38.868894 126.521801 229.578838
-36.978833 126.643919 229.823593
-35.087906 126.759372 230.056299
-33.196153 126.868169 230.276970
-31.303619 126.970321 230.485620
-29.410344 127.065834 230.682261
-27.516370 127.154718 230.866903
-25.621739 127.236981 231.039558
-23.726490 127.312628 231.200234
-21.830666 127.381669 231.348941
-19.934304 127.444107 231.485686
-18.037446 127.499951 231.610477
-16.140131 127.549204 231.723319
-14.242398 127.591872 231.824219
-12.344286 127.627959 231.913179
-10.445834 127.657469 231.990205
-8.547081 127.680407 232.055298
-6.648065 127.696773 232.108460
-4.748826 127.706572 232.149693
-2.849401 127.709805 232.178997
-0.949829 127.706474 232.196370
0.949851 127.696580 232.201811
2.849601 127.680124 232.195318
4.749382 127.657105 232.176887
6.649155 127.627523 232.146514
8.548882 127.591377 232.104194
10.448523 127.548667 232.049921
12.348039 127.499390 231.983688
14.247391 127.443544 231.905487
16.146539 127.381127 231.815310
18.045442 127.312135 231.713147
19.944061 127.236564 231.598988
21.842355 127.154411 231.472822
23.740283 127.065670 231.334637
25.637804 126.970338 231.184421
27.534874 126.868408 231.022159
29.431453 126.759875 230.847837
31.327498 126.644731 230.661440
33.222964 126.522971 230.462952
35.117808 126.394588 230.252357
37.011986 126.259572 230.029636
38.905452 126.117917 229.794771
40.798161 125.969614 229.547743
42.690066 125.814654 229.288532
44.581120 125.653028 229.017118
46.471275 125.484726 228.733478
48.360482 125.309737 228.437592
50.248693 125.128052 228.129436
52.135857 124.939660 227.808986
54.021922 124.744548 227.476218
55.906836 124.542707 227.131107
57.790548 124.334123 226.773628
59.673002 124.118784 226.403755
61.554144 123.896678 226.021461
63.433919 123.667791 225.626717
65.312268 123.432111 225.219497
67.189135 123.189623 224.799771
69.064461 122.940314 224.367510
70.938184 122.684170 223.922684
72.810244 122.421176 223.465264
74.680579 122.151316 222.995217
76.549124 121.874577 222.512514
78.415815 121.590943 222.017122
80.280585 121.300398 221.509009
82.143368 121.002927 220.988142
84.004093 120.698513 220.454488
85.862692 120.387140 219.908014
87.719092 120.068792 219.348686
89.573220 119.743453 218.776470
91.425002 119.411105 218.191331
93.274362 119.071733 217.593235
95.121223 118.725318 216.982146
96.965506 118.371843 216.358030
98.807131 118.011293 215.720851
100.646015 117.643648 215.070574
102.482074 117.268893 214.407162
104.315224 116.887009 213.730581
106.145378 116.497979 213.040793
107.972447 116.101785 212.337764
109.796341 115.698411 211.621457
111.616968 115.287838 210.891837
113.434234 114.870050 210.148867
115.248044 114.445029 209.392511
117.058300 114.012757 208.622735
118.864904 113.573218 207.839502
-119.007905 112.963977 208.089544
-117.204576 113.383424 208.883429
-115.397471 113.795559 209.664003
-113.586687 114.200404 210.431301
-111.772315 114.597977 211.185353
-109.954448 114.988298 211.926192
-108.133175 115.371386 212.653850
-106.308584 115.747262 213.368358
-104.480762 116.115945 214.069750
-102.649794 116.477454 214.758056
-100.815763 116.831808 215.433309
-98.978750 117.179027 216.095540
-97.138837 117.519131 216.744781
-95.296102 117.852138 217.381063
-93.450621 118.178067 218.004417
-91.602472 118.496937 218.614874
-89.751728 118.808767 219.212464
-87.898462 119.113575 219.797217
-86.042747 119.411380 220.369163
-84.184651 119.702199 220.928332
-82.324246 119.986050 221.474753
-80.461597 120.262952 222.008454
-78.596773 120.532921 222.529464
-76.729837 120.795974 223.037810
-74.860855 121.052129 223.533519
-72.989889 121.301403 224.016620
-71.117001 121.543810 224.487136
-69.242252 121.779368 224.945096
-67.365702 122.008092 225.390523
-65.487409 122.229997 225.823442
-63.607431 122.445100 226.243878
-61.725824 122.653413 226.651854
-59.842645 122.854953 227.047392
-57.957948 123.049732 227.430516
-56.071787 123.237766 227.801246
-54.184215 123.419066 228.159604
-52.295284 123.593646 228.505610
-50.405047 123.761520 228.839283
-48.513553 123.922698 229.160643
-46.620853 124.077193 229.469707
-44.726995 124.225016 229.766493
-42.832029 124.366179 230.051018
-40.936002 124.500692 230.323297
-39.038962 124.628566 230.583347
-37.140955 124.749809 230.831182
-35.242028 124.864433 231.066815
